27,27
0,0,normal
1,0,barrier
2,0,normal
3,0,barrier
4,0,normal
5,0,normal
6,0,normal
7,0,normal
8,0,normal
9,0,normal
10,0,normal
11,0,normal
12,0,normal
13,0,normal
14,0,barrier
15,0,normal
16,0,normal
17,0,normal
18,0,normal
19,0,normal
20,0,normal
21,0,normal
22,0,normal
23,0,normal
24,0,barrier
25,0,normal
26,0,normal
0,1,normal
1,1,barrier
2,1,normal
3,1,barrier
4,1,barrier
5,1,barrier
6,1,barrier
7,1,barrier
8,1,barrier
9,1,barrier
10,1,barrier
11,1,barrier
12,1,barrier
13,1,normal
14,1,barrier
15,1,normal
16,1,barrier
17,1,barrier
18,1,barrier
19,1,barrier
20,1,normal
21,1,barrier
22,1,normal
23,1,normal
24,1,barrier
25,1,normal
26,1,barrier
0,2,normal
1,2,barrier
2,2,normal
3,2,barrier
4,2,normal
5,2,normal
6,2,normal
7,2,normal
8,2,normal
9,2,normal
10,2,normal
11,2,normal
12,2,normal
13,2,normal
14,2,barrier
15,2,normal
16,2,barrier
17,2,normal
18,2,normal
19,2,barrier
20,2,normal
21,2,barrier
22,2,normal
23,2,normal
24,2,barrier
25,2,barrier
26,2,normal
0,3,normal
1,3,barrier
2,3,normal
3,3,barrier
4,3,barrier
5,3,barrier
6,3,barrier
7,3,barrier
8,3,barrier
9,3,barrier
10,3,barrier
11,3,barrier
12,3,barrier
13,3,normal
14,3,barrier
15,3,normal
16,3,barrier
17,3,barrier
18,3,normal
19,3,barrier
20,3,normal
21,3,barrier
22,3,normal
23,3,normal
24,3,barrier
25,3,normal
26,3,normal
0,4,normal
1,4,barrier
2,4,normal
3,4,normal
4,4,normal
5,4,normal
6,4,normal
7,4,normal
8,4,normal
9,4,normal
10,4,normal
11,4,normal
12,4,normal
13,4,normal
14,4,barrier
15,4,normal
16,4,normal
17,4,normal
18,4,normal
19,4,barrier
20,4,normal
21,4,barrier
22,4,normal
23,4,normal
24,4,barrier
25,4,normal
26,4,barrier
0,5,normal
1,5,barrier
2,5,normal
3,5,barrier
4,5,barrier
5,5,barrier
6,5,barrier
7,5,barrier
8,5,normal
9,5,barrier
10,5,normal
11,5,barrier
12,5,normal
13,5,barrier
14,5,barrier
15,5,barrier
16,5,barrier
17,5,barrier
18,5,barrier
19,5,barrier
20,5,normal
21,5,barrier
22,5,normal
23,5,normal
24,5,barrier
25,5,normal
26,5,normal
0,6,normal
1,6,barrier
2,6,normal
3,6,barrier
4,6,normal
5,6,normal
6,6,normal
7,6,barrier
8,6,normal
9,6,barrier
10,6,normal
11,6,barrier
12,6,normal
13,6,barrier
14,6,normal
15,6,normal
16,6,normal
17,6,normal
18,6,normal
19,6,normal
20,6,normal
21,6,normal
22,6,normal
23,6,normal
24,6,barrier
25,6,barrier
26,6,normal
0,7,normal
1,7,barrier
2,7,normal
3,7,barrier
4,7,normal
5,7,barrier
6,7,normal
7,7,barrier
8,7,normal
9,7,barrier
10,7,normal
11,7,barrier
12,7,normal
13,7,barrier
14,7,barrier
15,7,barrier
16,7,barrier
17,7,barrier
18,7,barrier
19,7,barrier
20,7,barrier
21,7,barrier
22,7,barrier
23,7,normal
24,7,barrier
25,7,normal
26,7,normal
0,8,normal
1,8,barrier
2,8,normal
3,8,barrier
4,8,normal
5,8,barrier
6,8,normal
7,8,barrier
8,8,normal
9,8,barrier
10,8,normal
11,8,barrier
12,8,normal
13,8,normal
14,8,normal
15,8,normal
16,8,normal
17,8,normal
18,8,normal
19,8,normal
20,8,normal
21,8,normal
22,8,normal
23,8,normal
24,8,barrier
25,8,normal
26,8,barrier
0,9,normal
1,9,barrier
2,9,normal
3,9,barrier
4,9,normal
5,9,barrier
6,9,normal
7,9,barrier
8,9,normal
9,9,barrier
10,9,normal
11,9,barrier
12,9,barrier
13,9,barrier
14,9,barrier
15,9,barrier
16,9,barrier
17,9,barrier
18,9,barrier
19,9,barrier
20,9,barrier
21,9,barrier
22,9,barrier
23,9,normal
24,9,barrier
25,9,normal
26,9,normal
0,10,normal
1,10,barrier
2,10,normal
3,10,barrier
4,10,normal
5,10,barrier
6,10,normal
7,10,barrier
8,10,normal
9,10,barrier
10,10,normal
11,10,normal
12,10,normal
13,10,normal
14,10,normal
15,10,normal
16,10,normal
17,10,normal
18,10,normal
19,10,normal
20,10,normal
21,10,normal
22,10,normal
23,10,normal
24,10,barrier
25,10,barrier
26,10,normal
0,11,normal
1,11,barrier
2,11,normal
3,11,barrier
4,11,normal
5,11,barrier
6,11,barrier
7,11,barrier
8,11,barrier
9,11,barrier
10,11,barrier
11,11,barrier
12,11,barrier
13,11,barrier
14,11,barrier
15,11,barrier
16,11,barrier
17,11,barrier
18,11,barrier
19,11,barrier
20,11,barrier
21,11,barrier
22,11,barrier
23,11,barrier
24,11,barrier
25,11,normal
26,11,normal
0,12,normal
1,12,normal
2,12,normal
3,12,normal
4,12,normal
5,12,normal
6,12,normal
7,12,normal
8,12,normal
9,12,normal
10,12,normal
11,12,normal
12,12,normal
13,12,normal
14,12,normal
15,12,normal
16,12,normal
17,12,normal
18,12,normal
19,12,normal
20,12,normal
21,12,normal
22,12,normal
23,12,normal
24,12,normal
25,12,normal
26,12,normal
0,13,normal
1,13,barrier
2,13,normal
3,13,barrier
4,13,normal
5,13,barrier
6,13,normal
7,13,barrier
8,13,barrier
9,13,barrier
10,13,normal
11,13,barrier
12,13,normal
13,13,barrier
14,13,barrier
15,13,barrier
16,13,normal
17,13,barrier
18,13,barrier
19,13,barrier
20,13,barrier
21,13,barrier
22,13,barrier
23,13,normal
24,13,barrier
25,13,barrier
26,13,normal
0,14,normal
1,14,barrier
2,14,normal
3,14,barrier
4,14,normal
5,14,barrier
6,14,normal
7,14,barrier
8,14,normal
9,14,barrier
10,14,normal
11,14,barrier
12,14,normal
13,14,normal
14,14,normal
15,14,barrier
16,14,normal
17,14,barrier
18,14,normal
19,14,normal
20,14,normal
21,14,normal
22,14,normal
23,14,normal
24,14,normal
25,14,barrier
26,14,normal
0,15,normal
1,15,barrier
2,15,normal
3,15,barrier
4,15,normal
5,15,barrier
6,15,normal
7,15,barrier
8,15,normal
9,15,barrier
10,15,normal
11,15,barrier
12,15,normal
13,15,barrier
14,15,barrier
15,15,barrier
16,15,normal
17,15,barrier
18,15,barrier
19,15,barrier
20,15,barrier
21,15,barrier
22,15,barrier
23,15,normal
24,15,normal
25,15,barrier
26,15,normal
0,16,normal
1,16,barrier
2,16,normal
3,16,barrier
4,16,normal
5,16,barrier
6,16,normal
7,16,barrier
8,16,normal
9,16,barrier
10,16,normal
11,16,barrier
12,16,normal
13,16,normal
14,16,normal
15,16,barrier
16,16,normal
17,16,barrier
18,16,normal
19,16,barrier
20,16,barrier
21,16,normal
22,16,barrier
23,16,normal
24,16,normal
25,16,barrier
26,16,normal
0,17,normal
1,17,barrier
2,17,normal
3,17,barrier
4,17,normal
5,17,barrier
6,17,normal
7,17,barrier
8,17,normal
9,17,barrier
10,17,normal
11,17,barrier
12,17,normal
13,17,barrier
14,17,normal
15,17,barrier
16,17,normal
17,17,normal
18,17,normal
19,17,normal
20,17,normal
21,17,normal
22,17,normal
23,17,normal
24,17,normal
25,17,barrier
26,17,normal
0,18,normal
1,18,barrier
2,18,normal
3,18,barrier
4,18,normal
5,18,barrier
6,18,normal
7,18,barrier
8,18,normal
9,18,barrier
10,18,normal
11,18,barrier
12,18,normal
13,18,barrier
14,18,normal
15,18,barrier
16,18,barrier
17,18,normal
18,18,barrier
19,18,barrier
20,18,barrier
21,18,barrier
22,18,barrier
23,18,barrier
24,18,barrier
25,18,barrier
26,18,normal
0,19,normal
1,19,barrier
2,19,normal
3,19,barrier
4,19,normal
5,19,barrier
6,19,normal
7,19,barrier
8,19,normal
9,19,barrier
10,19,normal
11,19,barrier
12,19,normal
13,19,barrier
14,19,normal
15,19,barrier
16,19,normal
17,19,normal
18,19,barrier
19,19,normal
20,19,barrier
21,19,normal
22,19,normal
23,19,normal
24,19,normal
25,19,normal
26,19,normal
0,20,normal
1,20,barrier
2,20,normal
3,20,barrier
4,20,normal
5,20,barrier
6,20,normal
7,20,barrier
8,20,normal
9,20,barrier
10,20,normal
11,20,barrier
12,20,normal
13,20,barrier
14,20,normal
15,20,barrier
16,20,normal
17,20,barrier
18,20,barrier
19,20,normal
20,20,barrier
21,20,normal
22,20,barrier
23,20,normal
24,20,barrier
25,20,normal
26,20,barrier
0,21,normal
1,21,barrier
2,21,normal
3,21,barrier
4,21,normal
5,21,barrier
6,21,normal
7,21,barrier
8,21,normal
9,21,barrier
10,21,normal
11,21,barrier
12,21,normal
13,21,barrier
14,21,barrier
15,21,barrier
16,21,normal
17,21,normal
18,21,barrier
19,21,normal
20,21,barrier
21,21,normal
22,21,barrier
23,21,normal
24,21,barrier
25,21,normal
26,21,barrier
0,22,normal
1,22,barrier
2,22,normal
3,22,barrier
4,22,normal
5,22,barrier
6,22,normal
7,22,normal
8,22,normal
9,22,normal
10,22,normal
11,22,barrier
12,22,normal
13,22,normal
14,22,normal
15,22,normal
16,22,normal
17,22,normal
18,22,barrier
19,22,normal
20,22,barrier
21,22,normal
22,22,barrier
23,22,normal
24,22,barrier
25,22,normal
26,22,barrier
0,23,normal
1,23,barrier
2,23,normal
3,23,barrier
4,23,normal
5,23,barrier
6,23,barrier
7,23,barrier
8,23,barrier
9,23,barrier
10,23,normal
11,23,barrier
12,23,normal
13,23,barrier
14,23,barrier
15,23,barrier
16,23,barrier
17,23,barrier
18,23,barrier
19,23,normal
20,23,barrier
21,23,normal
22,23,barrier
23,23,normal
24,23,barrier
25,23,normal
26,23,barrier
0,24,normal
1,24,barrier
2,24,normal
3,24,barrier
4,24,normal
5,24,normal
6,24,normal
7,24,normal
8,24,normal
9,24,normal
10,24,normal
11,24,barrier
12,24,normal
13,24,barrier
14,24,normal
15,24,normal
16,24,normal
17,24,normal
18,24,normal
19,24,normal
20,24,barrier
21,24,normal
22,24,barrier
23,24,normal
24,24,barrier
25,24,normal
26,24,barrier
0,25,normal
1,25,barrier
2,25,normal
3,25,barrier
4,25,normal
5,25,barrier
6,25,barrier
7,25,barrier
8,25,barrier
9,25,barrier
10,25,normal
11,25,barrier
12,25,barrier
13,25,barrier
14,25,normal
15,25,barrier
16,25,barrier
17,25,barrier
18,25,barrier
19,25,normal
20,25,barrier
21,25,normal
22,25,barrier
23,25,normal
24,25,barrier
25,25,normal
26,25,barrier
0,26,normal
1,26,normal
2,26,normal
3,26,barrier
4,26,normal
5,26,barrier
6,26,normal
7,26,normal
8,26,normal
9,26,normal
10,26,normal
11,26,normal
12,26,normal
13,26,normal
14,26,normal
15,26,normal
16,26,normal
17,26,normal
18,26,normal
19,26,normal
20,26,barrier
21,26,normal
22,26,normal
23,26,normal
24,26,normal
25,26,normal
26,26,normal
